,logS,logSpH7,logP,logD,2C9pKi,hERGpIC50,BBB,Pgpcategory,MW,HBD,HBA,TPSA,Flexibility,RotatableBonds
OXYPHE0NIUM,4.059,1.06,4.21,0.6511,4.313,5.704,0.2868,1,348.5,1,4,46.53,0.3462,9
OXYTETRACYCLINE,3.247,4.038,-1.911,-0.8527,4.777,2.189,-1.416,1,460.4,7,11,201.9,0.05556,2
PACLITAXEL,-0.546,-0.546,3.205,3.205,5.5,3.761,-1.172,1,853.9,4,15,221.3,0.2206,15
PALO0SETRON,3.358,0.961,3.162,1.247,4.522,5.793,0.4286,0,296.4,0,3,23.55,0.03846,1
PAMIDRONATE,6.189,4.83,-0.6227,-3.851,3.949,2.433,-1.189,0,235.1,6,8,161.3,0.3333,4
PANCURONIUM,2.628,3.085,5.693,2.031,4.898,6.293,0.3061,1,572.9,0,6,52.6,0.1304,6
PANTOPRAZOLE,2.011,2.011,1.601,1.601,4.993,4.845,-0.4885,0,383.4,1,7,86.33,0.25,7
PANTOTHENIC ACID,5.253,4.098,-0.4589,-2.805,4.048,2.343,-1.071,0,219.2,4,6,106.9,0.5,7
PARAMETHADIONE,4.283,4.283,0.6716,0.6716,3.866,3.76,-0.3801,0,157.2,0,4,46.61,0.09091,1
PARAMETHASONE ACETATE,1.23,1.23,2.793,2.793,4.868,4.305,-0.9008,1,434.5,2,6,100.9,0.1176,4
PARGYLINE,4.966,1.899,2.27,1.492,3.954,4.947,0.3366,0,159.2,0,1,3.24,0.3333,4
PARICALCITOL,1.351,1.351,5.113,5.113,4.959,5.951,-0.09635,1,416.6,3,3,60.69,0.1562,5
PAROMOMYCIN,5.245,6.616,-2.961,-1.151,5.165,1.369,-1.314,1,615.6,13,19,347.3,0.2,9
PAROXETINE,2.984,1.662,3.109,2.142,5.168,5.555,0.3817,1,311.4,1,4,39.72,0.1538,4
PEMETREXED,2.022,4.149,0.685,-1.822,4.864,2.05,-1.797,1,427.4,6,11,191.3,0.303,10
PEMIROLAST,2.862,3.832,0.4934,-1.133,4.447,3.858,-0.9647,1,228.2,1,7,88.83,0.05263,1
PEMOLINE,4.41,2.892,0.5361,-1.497,4.103,3.193,-1.029,0,176.2,1,4,64.68,0.07143,1
PENBUTOLOL,3.116,1.011,4.15,2.06,4.667,5.32,0.5443,0,291.4,2,3,41.49,0.3182,7
PENCICLOVIR,4.013,3.212,-1.143,-1.411,4.034,4.24,-1.282,1,253.3,4,8,130.1,0.2632,5
PENICILLAMINE,5.507,4.095,-1.905,-2.102,4.039,2.706,-0.6179,0,149.2,2,3,63.32,0.25,2
PENICILLIN G,3.154,3.805,1.83,-1.524,4.636,2.663,-1.445,0,334.4,2,6,86.71,0.2,5
PENTAGASTRIN,1.821,3.664,1.534,1.928,4.974,0.9744,-1.449,1,767.9,8,16,250.9,0.4821,27
PENTAMIDINE,1.761,2.955,2.819,-0.19,5.047,4.466,-0.7919,1,340.4,4,6,118.2,0.3846,10
PENTAZOCINE,3.33,0.7831,4.64,2.084,4.718,5.93,0.5341,1,285.4,1,2,23.47,0.08696,2
PENTETATE CALCIUM,4.88,5.325,-1.576,-5.235,4.174,0.3508,-1.543,1,393.3,5,13,196.2,0.6154,16
PENTETATE YB-169,4.88,5.325,-1.576,-5.235,4.174,0.3508,-1.543,1,393.3,5,13,196.2,0.6154,16
PENTETATE ZINC,4.88,5.325,-1.576,-5.235,4.174,0.3508,-1.543,1,393.3,5,13,196.2,0.6154,16
PENTOBARBITAL,3.43,3.43,2.1,2.1,3.966,3.369,0.09018,0,226.3,2,5,75.27,0.25,4
PENTOLINIUM,5.707,3.375,3.058,-0.4584,4.22,6.256,0.8437,0,240.4,0,2,0,0.3333,6
PENTOSTATIN,5.256,3.194,-2.09,-2.287,4.614,3.472,-1.545,1,268.3,4,8,112.1,0.09524,2
PENTOXIFYLLINE,5.44,5.44,0.2903,0.2903,4.147,5.159,-0.5458,0,278.3,0,7,78.89,0.2381,5
PERFLEXANE,1.481,1.481,4.319,4.319,4.496,5.669,0.5802,0,338,0,0,0,0.2632,5
PERFLUBRON,0.8521,0.8521,4.79,4.79,4.496,5.984,0.5311,0,499,0,0,0,0.28,7
PERFLUTREN,2.894,2.894,2.746,2.746,4.507,4.931,0.4104,0,188,0,0,0,0.2,2
PERGOLIDE,3.035,0.451,4.514,2.701,4.745,5.839,0.2376,1,314.5,1,2,19.03,0.16,4
PERINDOPRIL,3.215,4.17,0.08913,-1.371,4.175,3.512,-1.74,1,368.5,2,7,95.94,0.3704,10
PERMETHRIN,-1.81,-1.81,6.06,6.06,5.38,5.393,0.3056,0,391.3,0,3,35.53,0.25,7
PERPHENAZINE,1.85,2.474,4.2,3.51,4.855,6.859,0.7044,1,404,1,4,29.95,0.2,6
PHENACEMIDE,4.302,4.302,0.8701,0.8701,3.557,3.345,-0.2829,0,178.2,2,4,72.19,0.3077,4
PHENAZOPYRIDINE,2.441,1.765,1.865,3.31,3.877,4.142,0.3415,0,213.2,2,5,89.65,0.1176,2
PHENDIMETRAZINE,4.652,2.037,1.808,1.336,4.309,4.985,0.4315,0,191.3,0,2,12.47,0.06667,1
PHENELZINE,4.829,1.361,1.784,-0.33,3.785,4.015,-0.3326,0,136.2,2,2,38.05,0.3,3
PHENINDIONE,2.281,1.916,2.041,1.064,4.379,4.844,0.66,0,222.2,0,2,34.14,0.05263,1
PHENIRAMINE,3.401,1.728,2.688,1.071,4.689,5.394,0.8789,0,240.3,0,2,16.13,0.2632,5
PHENMETRAZINE,4.94,2.153,1.714,0.6585,4.423,4.5,0.6075,0,177.2,1,2,21.26,0.07143,1
PHE0XYBENZAMINE,2.014,1.086,4.505,2.86,4.748,5.802,0.8346,0,303.8,0,2,12.47,0.3636,8
PHENPROCOUMON,1.148,2.141,4.711,2.554,5.261,5.182,-0.847,0,280.3,1,3,50.44,0.1304,3
PHENSUXIMIDE,3.827,3.827,1.069,1.069,4.032,3.951,-0.3586,0,189.2,0,3,37.38,0.06667,1
PHENTERMINE,5.11,2.561,2.044,-0.007805,4.038,4.328,0.04614,0,149.2,1,1,26.02,0.1818,2
PHENTOLAMINE,2.753,1.58,3.164,0.01231,5.003,4.793,-0.4826,0,281.4,2,4,47.86,0.1739,4
PHENYL AMI0SALICYLATE,2.194,2.474,3.215,1.095,4.318,4.277,-0.1891,0,229.2,2,4,72.55,0.1667,3
PHENYLACETATE,5.09,3.384,1.814,-0.6453,4.027,3.386,-0.9662,0,136.1,1,2,37.3,0.2,2
PHENYLBUTAZONE,2.19,0.8435,2.741,0.47,5.302,4.864,-0.52,0,308.4,0,4,40.62,0.2,5
PHENYLEPHRINE,5.455,2.728,0.01994,-1.534,4.02,4.11,-0.8133,0,167.2,3,3,52.49,0.25,3
PHENYLPROPA0LAMINE,5.12,2.884,0.6699,-0.935,4.251,3.979,-0.09864,0,151.2,2,2,46.25,0.1818,2
PHENYTOIN,2.1,2.1,2.47,2.47,4.614,3.645,-0.09325,1,252.3,2,4,58.2,0.09524,2
PHYTONADIONE,-0.991,-0.991,7.684,7.684,4.961,6.476,0.5111,1,450.7,0,2,34.14,0.4118,14
PILOCARPINE,3.665,3.665,1.422,1.422,4.124,4.431,-0.1543,0,208.3,0,4,44.12,0.1875,3
PIMECROLIMUS,0.3538,0.3538,4.348,4.348,4.959,4.402,-0.7551,1,810.5,2,12,158.1,0.1017,6
PIMOZIDE,0.6111,1.123,5.634,4.032,5.214,7.813,0.01514,1,461.5,1,4,41.03,0.1842,7
PINACIDIL,2.456,2.486,1.877,0.8732,3.947,4.12,-0.5904,0,245.3,2,5,73.1,0.3333,6
PINDOLOL,3.608,2.298,1.75,0.2496,4.239,4.523,-0.145,0,248.3,3,4,57.28,0.3158,6
PIOGLITAZONE,0.9506,0.9506,3.514,3.514,5.193,4.927,0.1712,0,356.4,1,5,68.29,0.2593,7
PIPECURONIUM,3.708,4.389,3.74,1.628,4.898,6.25,0.2133,1,602.9,0,8,59.08,0.125,6
PIPERACETAZINE,1.485,2.263,3.919,2.463,4.829,6.777,0.7666,1,410.6,1,4,43.78,0.2188,7
PIPERACILLIN,2.57,3.644,0.4999,-0.4626,5.047,1.83,-1.794,1,517.6,3,12,156.4,0.2308,9
PIPERAZINE,7.06,3.802,-1.5,-1.421,3.93,3.567,0.2721,0,86.14,2,2,24.06,0,0
PIPERONYL BUTOXIDE,1.63,1.63,4.75,4.75,4.583,5.589,0.392,1,338.4,0,5,46.15,0.52,13
PIPOBROMAN,4.651,4.651,0.4196,0.4196,4.038,4.491,-0.5443,0,356.1,0,4,40.62,0.375,6
PIRBUTEROL,3.856,2.274,-0.06397,-1.673,4.292,4.133,-1.297,0,240.3,4,5,85.61,0.2941,5
PIROXICAM,1.84,3.061,1.486,-0.07151,4.663,3.882,-0.998,0,331.3,2,7,99.6,0.12,3
PLICAMYCIN,1.499,1.499,1.017,1.017,5.264,3.592,-1.693,1,1085,11,24,358.2,0.1807,15
PODOFILOX,2.111,2.111,1.825,1.825,5.487,4.581,-0.2357,0,414.4,1,8,92.68,0.1176,4
POLYMYXIN B,4.232,6.066,-0.3523,2.913,4.703,1.128,-0.8664,1,1203,18,29,490.7,0.3837,33
POLYTHIAZIDE,2.464,3.717,1.878,1.796,4.878,5.235,-0.7239,0,439.9,2,7,109.6,0.1923,5
POTASSIUM LACTATE,7.05,4.083,-0.2591,-2.871,4.012,2.858,-0.8175,0,90.08,2,3,57.53,0.2,1
PRALIDOXIME,4.294,2.672,1.798,-1.228,4.115,4.166,-0.2102,0,137.2,1,3,36.47,0.1,1
PRAMIPEXOLE,4.182,3.235,1.6,-1.449,3.767,3.848,-0.951,0,213.3,2,3,50.41,0.2,3
PRAMOXINE,3.506,2.243,3.084,1.809,4.488,5.99,0.6348,0,293.4,0,4,30.93,0.4091,9
PRAVASTATIN,2.616,3.941,2.18,-0.3663,4.457,3.966,-1.146,1,424.5,4,7,124.3,0.3548,11
PRAZEPAM,1.284,1.284,3.73,3.73,5.325,4.943,0.05805,0,324.8,0,3,32.67,0.1154,3
PRAZIQUANTEL,2.925,2.925,2.955,2.955,4.82,4.984,-0.6773,0,312.4,0,4,40.62,0.07692,2
PRAZOSIN,2.352,1.517,1.581,1.807,5.46,5.417,-0.66,1,383.4,1,9,106.9,0.1613,5
PREDNICARBATE,1.212,1.212,3.114,3.114,4.94,4.5,-0.8642,1,488.6,1,8,116.2,0.2368,9
PREDNISOLONE,2.79,2.79,1.612,1.612,4.61,4.392,-0.9792,1,360.4,3,5,94.83,0.06897,2
PREDNISOLONE ACETATE,1.63,1.63,2.4,2.4,4.707,4.378,-0.9065,0,402.5,2,6,100.9,0.125,4
PREDNISOLONE PHOSPHATE,2.697,3.782,1.331,-0.6463,4.699,4.226,-1.261,0,440.4,4,8,141.4,0.1212,4
PREDNISOLONE TEBUTATE,1.264,1.264,3.335,3.335,4.908,4.646,-0.8192,0,458.6,2,6,100.9,0.1667,6
PREDNISONE,2.632,2.632,1.47,1.47,4.717,4.291,-0.9,0,358.4,2,5,91.67,0.06897,2
PREGABALIN,5.161,3.806,-1.162,-1.253,4.115,2.986,-0.54,0,159.2,2,3,63.32,0.5,5
PRILOCAINE,3.579,2.035,2.11,1.1,3.899,4.129,0.1051,0,220.3,2,3,41.13,0.375,6
PRIMAQUINE,3.814,2.481,1.636,0.9162,4.123,4.95,-0.7377,0,259.3,2,4,60.17,0.3,6
PRIMIDONE,3.36,3.36,0.91,0.91,4.122,3.234,0.07922,0,218.3,2,4,58.2,0.1176,2
PROBENECID,3.604,3.681,3.21,-0.07,4.209,4.583,-0.7206,0,285.4,1,5,74.68,0.3684,7
PROBUCOL,-1.322,-1.322,7.326,7.326,5.735,5.023,0.1211,1,516.8,2,2,40.46,0.2222,8
PROCAINAMIDE,4.202,2.1,0.8801,-0.36,3.677,4.442,0.04826,0,235.3,2,4,58.36,0.4118,7
PROCAINE,4.6,2.027,2.14,0.3,3.941,5.039,0.05,0,236.3,1,4,55.56,0.4118,7
PROCARBAZINE,4.618,2.66,0.05985,0.6986,4.139,3.822,0.02071,0,221.3,3,4,53.16,0.375,6
PROCHLORPERAZINE,1.6,2.91,4.6,3.572,4.918,6.82,0.9241,1,373.9,0,3,9.72,0.1429,4
PROCYCLIDINE,4.32,1.784,3.793,1.428,4.394,5.867,0.7387,0,287.4,1,2,23.47,0.2174,5
PROGESTERONE,1.45,1.45,3.87,3.87,4.825,4.983,-0.07594,0,314.5,0,2,34.14,0.03846,1
PROGUANIL,3.635,3.459,2.53,0.2206,4.125,3.874,-0.9555,0,253.7,5,5,83.79,0.3529,6
PROMAZINE,1.7,2.206,4.55,2.54,4.654,5.869,0.4871,0,284.4,0,2,6.48,0.1818,4
PROMETHAZINE,1.74,2.183,4.81,2.519,4.79,5.714,0.5704,0,284.4,0,2,6.48,0.1364,3
PROPAFE0NE,2.237,1.316,3.338,1.635,5.108,5.485,0.5229,1,341.4,2,4,58.56,0.4231,11
PROPANTHELINE,2.997,1.165,5.097,2.028,4.945,5.973,0.7594,1,368.5,0,4,35.53,0.2414,7
PROPARACAINE,4.245,1.848,3.002,1.083,4.389,5.237,0.1238,1,294.4,1,5,64.79,0.4762,10
PROPIOLACTONE,6.71,6.71,-0.869,-0.869,4.025,3.685,-0.2449,0,72.06,0,2,26.3,0,0
PROPIOMAZINE,2.26,2.189,4.79,2.581,5.051,6.014,1.057,1,340.5,0,3,23.55,0.1923,5
PROPOFOL,2.461,2.461,3.79,3.79,4.471,4.77,0.552,0,178.3,1,1,20.23,0.1538,2
PROPOXYCAINE,4.245,1.878,3.002,1.101,4.385,5.261,0.1238,0,294.4,1,5,64.79,0.4762,10
PROPOXYPHENE,2.639,1.465,4.495,2.36,5.101,5.547,0.9489,1,339.5,0,3,29.54,0.3462,9
PROPRA0LOL,2.83,1.55,2.98,1.232,4.416,5.228,0.4129,0,259.3,2,3,41.49,0.3,6
PROPYLIODONE,2.121,2.121,2.801,2.801,4.356,4.538,-0.3105,0,447,0,4,48.3,0.3125,5
PROPYLTHIOURACIL,3.85,3.85,0.7337,0.7337,3.848,3.985,-0.5895,0,170.2,2,3,48.65,0.1818,2
PROTIRELIN,4.665,4.665,-2.46,-2.46,4.266,2.274,-1.104,1,362.4,4,10,150.3,0.2857,8
PROTOKYLOL,3.098,2.591,1.42,-0.006264,4.949,4.857,-0.6834,0,331.4,4,6,91.18,0.2308,6
PROTRIPTYLINE,2.289,0.7127,4.572,1.36,4.897,5.49,0.8027,0,263.4,1,1,12.03,0.1818,4
PSEUDOEPHEDRINE,5.59,2.457,0.9299,-0.77,4.221,4.303,0.4064,0,165.2,2,2,32.26,0.25,3
PYRAZINAMIDE,5.09,5.09,-1.2,-1.2,3.775,3.43,0.05516,0,123.1,1,4,68.87,0.1111,1
PYRETHRINS,1.092,1.092,5.023,5.023,4.847,5.265,0.05219,0,328.4,0,3,43.37,0.28,7
PYRIDOSTIGMINE,4.684,3.254,1.818,-0.7436,3.822,4.43,0.2282,0,181.2,0,4,33.42,0.2308,3
PYRIDOXINE,5.529,5.529,-0.4693,-0.4693,3.907,3.72,-1.035,0,169.2,3,4,73.58,0.1667,2
PYRILAMINE,3.539,2.018,3.3,1.31,4.89,5.72,0.4917,0,285.4,0,4,28.6,0.3182,7
PYRIMETHAMINE,2.358,1.867,2.542,2.44,4.898,4.305,0.49,0,248.7,2,4,77.82,0.1111,2
PYRITHIONE ZINC,4.027,4.027,1.182,1.182,4.106,4.123,-0.05725,0,127.2,0,2,25.46,0,0
PYRVINIUM,0.08655,1.484,6.34,2.594,6.013,6.212,0.5351,0,382.5,0,3,12.05,0.125,4
QUAZEPAM,0.2178,0.2178,4.03,4.03,5.856,5.584,0.3929,0,386.8,0,2,15.6,0.1111,3
QUETIAPINE,2.292,2.179,2.553,1.843,4.838,5.668,-0.0218,1,383.5,1,5,48.3,0.2,6
QUINAPRIL,2.428,2.632,0.9473,-0.6507,5.034,3.906,-1.928,1,438.5,2,7,95.94,0.3235,11
QUINESTROL,0.5864,0.5864,5.189,5.189,4.81,5.929,0.1519,1,364.5,1,2,29.46,0.09677,3
QUINETHAZONE,2.71,3.548,0.8367,0.8191,4.268,4.375,-0.3464,0,289.7,3,6,101.3,0.1053,2
QUINIDINE,3.608,1.488,2.64,2.183,4.966,6.06,0.4528,1,324.4,1,4,45.59,0.1481,4
QUINUPRISTIN,1.495,3.774,2.641,2.517,5.055,4.254,-1.399,1,1022,4,19,231.2,0.1375,11
RABEPRAZOLE,2.19,2.19,2.326,2.326,5.112,4.947,-0.6377,1,359.4,1,6,77.1,0.2963,8
RALOXIFENE,0.3001,1.866,5.484,3.122,5.664,6.885,-1.81,1,473.6,2,5,70,0.1842,7
RAMIPRIL,2.649,3.687,0.7465,-1.041,4.313,3.718,-1.823,1,416.5,2,7,95.94,0.3438,11
RANITIDINE,3.888,3.416,1.521,-0.53,4.357,4.216,-1.23,0,314.4,2,7,86.26,0.4762,10
RAPACURONIUM,2.267,1.997,6.516,2.817,4.955,6.538,0.3306,1,597.9,0,6,55.84,0.1875,9
REMIFENTANIL,4.351,2.853,1.92,0.5832,4.412,5.259,-0.08141,1,376.4,0,7,76.15,0.3571,10
REPAGLINIDE,0.8771,1.774,4.674,2.32,5.274,4.792,-0.7082,1,452.6,2,6,78.87,0.3143,11
RESCINNAMINE,2.138,3.02,3.675,3.076,5.78,5.704,-0.4381,1,634.7,1,11,117.8,0.2157,11
RESERPINE,2.08,2.839,3.391,2.974,5.806,5.697,-0.3559,1,608.7,1,11,117.8,0.2041,10
RIBAVIRIN,6.239,6.239,-1.85,-1.85,4.102,3.226,-0.668,0,244.2,4,9,143.7,0.1667,3
RIBOFLAVIN,2.87,2.87,-0.7282,-0.7282,4.862,4.71,-1.528,1,376.4,5,10,161.6,0.1724,5
RIFABUTIN,1.02,3.756,2.897,2.308,5.416,4.157,-0.7282,1,847,5,15,205.6,0.07576,5
RIFAMPIN,1.451,2.779,3.032,1.528,5.624,5.773,-0.9514,1,822.9,6,16,220.1,0.07937,5
RIFAPENTINE,1.04,2.248,4.048,2.051,5.447,6.149,-0.9502,1,877,6,16,220.1,0.08824,6
RIFAXIMIN,-0.2745,-0.2745,4.28,4.28,5.941,5.729,-0.966,1,785.9,5,14,198.4,0.04839,3
RILUZOLE,3.268,2.522,2.897,2.978,4.262,5,-0.3671,0,234.2,1,3,48.14,0.125,2
RIMANTADINE,4.117,2.371,3.33,0.4705,4.224,4.387,0.1441,0,179.3,1,1,26.02,0.06667,1
RIMEXOLONE,1.694,1.694,3.758,3.758,5.066,4.659,-0.4243,1,370.5,1,3,54.37,0.06667,2
RISEDRONATE,4.733,4.388,0.2082,-3.129,3.912,2.792,-1.34,0,283.1,5,8,148.2,0.2353,4
RISPERIDONE,1.571,2.368,3.988,2.447,4.376,7.131,-0.2087,1,410.5,0,6,64.16,0.1176,4
RITODRINE,3.37,2.535,1.936,-0.1702,4.565,5.186,-0.5183,0,287.4,4,4,72.72,0.2727,6
RITONAVIR,0.1014,0.1014,5.029,5.029,5.558,5.211,-1.122,1,720.9,4,11,145.8,0.4151,22
RIVASTIGMINE,5.008,3.127,2.365,0.8484,4.24,5.16,0.88,0,250.3,0,4,32.78,0.3333,6
RIZATRIPTAN,3.843,2.575,2.379,-0.1829,4.599,5.464,-0.8034,0,269.3,1,5,49.74,0.2273,5
ROCURONIUM,3.223,2.534,4.52,1.927,4.873,6.237,0.2624,1,529.8,1,6,59,0.1395,6
ROFECOXIB,1.14,1.14,2.574,2.574,5.065,5.006,-0.1,0,314.4,0,4,60.44,0.125,3
ROPINIROLE,3.715,1.892,2.791,1.532,4.525,5.48,0.1767,0,260.4,1,3,32.34,0.35,7
ROPIVACAINE,4.021,1.962,2.9,1.952,4.352,4.963,0.1496,0,274.4,1,3,32.34,0.2381,5
ROSE BENGAL,-2.75,-2.75,4.603,4.603,6.163,4.874,-0.4548,0,973.7,2,5,75.99,0,0
ROSIGLITAZONE,1.819,1.665,2.436,1.29,4.921,4.88,0.21,0,357.4,1,6,71.53,0.2593,7
ROSUVASTATIN,1.113,3.861,2.481,-1.025,5.242,4.74,-1.466,1,481.5,3,9,140.9,0.2941,10
SALMETEROL,2.29,1.239,3.451,1.197,5.008,5.767,-0.8277,1,415.6,4,5,81.95,0.5161,16
SAQUINAVIR,2.188,1.486,3.34,3.234,4.878,4.103,-1.192,1,670.8,5,11,166.8,0.3019,16
SARALASIN,3.083,4.593,-1.731,1.724,4.665,0.334,-1.612,1,912.1,13,23,355,0.4925,33
SCOPOLAMINE,4.412,2.588,1.813,-0.1448,4.499,4.737,0.23,0,303.4,1,5,62.3,0.2,5
SECOBARBITAL,3.727,3.727,2.138,2.138,4.154,3.586,0.2,0,238.3,2,5,75.27,0.2941,5
SELEGILINE,4.549,1.896,2.628,2.49,3.944,5.195,0.57,0,187.3,0,1,3.24,0.3571,5
SERTACONAZOLE,-1.005,-1.005,6.443,6.443,5.858,6.003,-0.09842,0,437.8,0,3,27.05,0.2,6
SERTRALINE,1.131,0.4643,5.598,2.947,5.087,5.377,0.8325,0,306.2,1,1,12.03,0.09091,2
SEVOFLURANE,3.228,3.228,2.63,2.63,4.546,4.879,0.3,0,200.1,0,1,9.23,0.3636,4
SIBUTRAMINE,2.756,1.525,5.112,2.796,4.352,5.771,1.259,0,279.8,0,1,3.24,0.25,5
SILDENAFIL,2.663,2.725,2.202,2.101,5.392,6.267,-1.27,1,474.6,1,10,113.4,0.1944,7
SIMETHICONE,2.689,2.689,3.215,3.215,4.565,4.71,0.9033,0,264.6,0,2,18.46,0.4286,6
SIMVASTATIN,0.9098,0.9098,4.68,4.68,4.984,5.016,-0.004305,1,418.6,1,5,72.83,0.2188,7
SINCALIDE,2.184,4.831,-2.054,1.936,4.916,-0.05545,-1.518,1,1143,13,26,426.8,0.4938,40
SIROLIMUS,0.4897,0.4897,3.884,3.884,4.977,4.537,-0.9386,1,914.2,3,14,195.4,0.08824,6
SODIUM,4.199,3.01,2.42,0.9519,4.056,3.71,-0.942,0,164.2,1,2,37.3,0.3333,4
SODIUM CITRATE,6.49,4.992,-1.014,-5.442,4.027,0.8882,-1.428,0,192.1,4,7,132.1,0.4167,5
SODIUM GLUCONATE,6.21,5.191,-2.316,-4.445,3.936,2.444,-1.415,0,196.2,6,7,138.4,0.4167,5
SOLIFENACIN,2.124,0.9067,4.546,2.623,4.787,6.336,0.6177,1,362.5,0,4,32.78,0.129,4
SORBITOL,6.07,6.07,-3.099,-3.099,3.953,3.543,-1.6,0,182.2,6,6,121.4,0.4545,5
SOTALOL,4.543,2.874,1.003,-1.19,4.037,5.063,-0.28,0,272.4,3,5,78.43,0.3333,6
SPARFLOXACIN,1.435,3.244,-0.5352,-0.7793,5.171,4.375,-1.185,1,392.4,3,7,100.6,0.09677,3
SPECTI0MYCIN,4.543,4.511,-1.81,-2.528,4.569,2.974,-1.758,1,332.4,5,9,129.5,0.08,2
SPIRAPRIL,2.448,3.127,0.7514,-1.1,4.406,3.706,-1.347,1,466.6,2,7,95.94,0.3333,11
SPIRO0LACTONE,1.72,1.72,3.106,3.106,4.82,4.633,-0.2012,1,416.6,0,4,60.44,0.06061,2
STA0ZOLOL,1.703,1.703,4.389,4.389,4.774,4.997,-0.3245,1,328.5,2,3,48.91,0,0
STAVUDINE,4.607,4.607,-0.6402,-0.6402,4.112,4.187,-0.4803,0,224.2,2,6,84.32,0.1176,2
STREPTOMYCIN,4.87,5.555,-3.3,-1.749,5.136,0.8808,-1.664,1,581.6,14,19,331.4,0.2619,11
STREPTOZOCIN,4.88,4.88,-1.45,-1.45,4.015,2.986,-1.453,0,265.2,5,10,151.9,0.2778,5
SUCCIMER,5.186,4.275,0.5401,-3.109,3.951,2.133,-1.06,0,182.2,2,4,74.6,0.3333,3
SUCCINYLCHOLINE,5.992,4.279,1.931,-0.9199,4.163,5.233,-0.4877,0,290.4,0,6,52.6,0.5789,11
SUFENTANIL,2.902,1.239,3.95,1.702,4.725,6.228,0.02177,1,386.6,0,4,32.78,0.3103,9
SULBACTAM,4.305,4.803,-0.3046,-2.897,3.964,2.797,-1.421,0,233.2,1,6,91.75,0.0625,1
SULCONAZOLE,-0.2301,-0.2301,6.062,6.062,5.288,5.781,0.7455,0,397.8,0,2,17.82,0.2308,6
SULFABENZAMIDE,3.05,3.598,0.76,0.2217,4.252,4.486,-0.6394,0,276.3,2,5,89.26,0.2,4
SULFACETAMIDE,4.472,4.099,-0.9601,-0.9534,3.526,3.941,-0.7281,0,214.2,2,5,89.26,0.2143,3
SULFACYTINE,2.426,3.804,0.7673,0.2134,4.285,4.9,-1.159,0,294.3,2,7,107.1,0.1905,4
SULFADIAZINE,2.49,3.865,-0.08989,-0.6,4.039,4.931,-0.7525,0,250.3,2,6,97.97,0.1667,3
SULFADOXINE,3.199,3.886,0.8756,-0.09827,4.553,5.012,-0.7672,0,310.3,2,8,116.4,0.2273,5
SULFAMERAZINE,2.88,3.79,0.3402,-0.2922,4.318,4.942,-0.761,0,264.3,2,6,97.97,0.1579,3
SULFAMETER,3.42,3.944,0.4099,-0.08741,4.426,5.104,-0.8435,0,280.3,2,7,107.2,0.2,4
SULFAMETHAZINE,3.73,3.801,0.2801,0.06388,4.529,4.879,-0.7912,0,278.3,2,6,97.97,0.15,3
SULFAMETHIZOLE,4.372,3.935,0.5331,-0.3367,3.861,4.981,-0.7507,0,270.3,2,6,97.97,0.1667,3
SULFAMETHOXAZOLE,3.915,4.713,0.8902,-0.456,3.475,4.885,-0.7176,0,253.3,2,6,98.22,0.1667,3
SULFANILAMIDE,4.64,3.789,-0.62,-0.8035,3.527,4.185,-0.5299,0,172.2,2,4,86.18,0.09091,1
SULFAPHENAZOLE,3.68,3.272,1.52,0.799,5.066,5.348,-0.7919,0,314.4,2,6,90.01,0.1667,4
SULFAPYRIDINE,3.03,2.953,0.0001838,0.1971,4.051,4.797,-0.6895,0,249.3,2,5,85.08,0.1667,3
SULFASALAZINE,0.2255,3.796,2.838,-0.13,5.657,4.633,-1.186,0,398.4,3,9,141.3,0.2,6
SULFATHIAZOLE,3.824,4.109,0.04992,-0.08811,3.751,4.964,-0.6896,0,255.3,2,5,85.08,0.1765,3
SULFINPYRAZONE,1.303,1.796,2.3,-0.06999,4.63,5.024,-0.6223,0,404.5,0,5,57.69,0.1875,6
SULFISOXAZOLE,3.8,4.63,1.01,-0.56,4.106,4.881,-0.7184,0,267.3,2,6,98.22,0.1579,3
SULFISOXAZOLE ACETYL,2.66,4.816,1.416,-0.007692,4.41,4.513,-0.7777,0,309.3,1,7,106.5,0.1818,4
SULFOXONE,3.766,4.628,0.2931,-0.9778,4.707,5.302,-0.6785,1,404.5,4,8,132.8,0.3077,8
SULINDAC,0.7841,3.762,3.05,0.12,5.469,4.695,-0.8419,0,356.4,1,3,54.37,0.1481,4
SUMATRIPTAN,4.164,2.737,0.9301,-0.8343,4.271,5.41,-1,0,295.4,2,5,65.2,0.2857,6
SUPROFEN,2.335,3.652,2.51,-0.3,4.427,3.876,-0.8105,0,260.3,1,3,54.37,0.2105,4
TACRINE,2.772,0.8652,2.571,0.8193,4.435,4.844,-0.4645,0,198.3,1,2,38.91,0,0
TACROLIMUS,0.9296,0.9296,3.301,3.301,4.961,4.372,-0.7741,1,804,3,13,178.4,0.1167,7
TADALAFIL,1.904,1.904,2.608,2.608,5.499,4.525,-1.127,0,389.4,1,7,74.87,0.02941,1
TALBUTAL,4.025,4.025,1.722,1.722,4.006,3.404,0.1779,0,224.3,2,5,75.27,0.25,4
TAMOXIFEN,1.491,1.156,6.246,4.03,5.472,6.569,0.8906,1,371.5,0,2,12.47,0.2667,8
TAMSULOSIN,1.972,2.796,2.829,1.303,5.16,5.316,-0.3463,1,408.5,2,7,99.88,0.3793,11
